date,type,likes_count_fb,comments_count_fb,shares_count_fb,sentiment,valence,post_link
27/11/2015,video,606,180,154,neutral,0,https://www.facebook.com/77249349077/posts/10153839517464078
27/11/2015,link,306,206,46,neutral,0,https://www.facebook.com/77249349077/posts/10153839946164078
29/11/2015,link,816,320,232,neutral,0,https://www.facebook.com/77249349077/posts/10153843061359078
29/11/2015,photo,1132,773,0,neutral,0,https://www.facebook.com/77249349077/posts/10153843254639078
01/12/2015,photo,1003,388,265,neutral,0,https://www.facebook.com/77249349077/posts/10153847087744078
02/12/2015,photo,922,249,200,neutral,0,https://www.facebook.com/77249349077/posts/10153848693599078
02/12/2015,photo,5407,874,1059,neutral,0,https://www.facebook.com/77249349077/posts/10153848873514078
02/12/2015,link,1702,523,229,positive,8,https://www.facebook.com/77249349077/posts/10153848988404078
02/12/2015,photo,7611,2452,5133,neutral,0,https://www.facebook.com/77249349077/posts/10153849720154078
03/12/2015,link,817,298,205,negative,-5,https://www.facebook.com/77249349077/posts/10153851262054078
04/12/2015,photo,1431,287,360,neutral,0,https://www.facebook.com/77249349077/posts/10153852885369078
04/12/2015,link,268,506,48,positive,1,https://www.facebook.com/77249349077/posts/10153853384634078
06/12/2015,link,1426,674,266,negative,-1,https://www.facebook.com/77249349077/posts/10153857155674078
07/12/2015,link,976,431,237,positive,7,https://www.facebook.com/77249349077/posts/10153859158329078
07/12/2015,link,224,656,39,positive,7,https://www.facebook.com/77249349077/posts/10153859575444078
08/12/2015,photo,511,527,0,neutral,0,https://www.facebook.com/77249349077/posts/10153860899164078
09/12/2015,photo,154,77,50,negative,-1,https://www.facebook.com/77249349077/posts/10153863081754078
09/12/2015,photo,1954,514,0,neutral,0,https://www.facebook.com/77249349077/posts/10153863271204078
09/12/2015,photo,676,739,163,positive,1,https://www.facebook.com/77249349077/posts/10153863477804078
10/12/2015,photo,1387,556,370,negative,-2,https://www.facebook.com/77249349077/posts/10153865662599078
11/12/2015,link,504,589,59,positive,1,https://www.facebook.com/77249349077/posts/10153867822084078
13/12/2015,video,2187,354,0,neutral,0,https://www.facebook.com/77249349077/posts/10153871700214078
13/12/2015,link,607,1136,248,positive,5,https://www.facebook.com/77249349077/posts/10153871786349078
14/12/2015,photo,828,355,226,negative,-2,https://www.facebook.com/77249349077/posts/10153874254334078
15/12/2015,link,604,295,93,negative,-1,https://www.facebook.com/77249349077/posts/10153875659984078
15/12/2015,photo,2538,409,935,neutral,0,https://www.facebook.com/77249349077/posts/10153875883429078
16/12/2015,photo,385,156,0,neutral,0,https://www.facebook.com/77249349077/posts/10153877450479078
16/12/2015,photo,1003,683,278,neutral,0,https://www.facebook.com/77249349077/posts/10153877658624078
16/12/2015,photo,1216,502,426,neutral,0,https://www.facebook.com/77249349077/posts/10153877957939078
16/12/2015,link,752,552,220,negative,-1,https://www.facebook.com/77249349077/posts/10153877987644078
16/12/2015,photo,465,1181,257,negative,-1,https://www.facebook.com/77249349077/posts/10153878182944078
18/12/2015,link,378,1191,50,positive,2,https://www.facebook.com/77249349077/posts/10153882877019078
22/12/2015,link,893,458,0,neutral,0,https://www.facebook.com/77249349077/posts/10153893296714078
24/12/2015,video,941,904,0,neutral,0,https://www.facebook.com/77249349077/posts/10153897888139078
29/12/2015,link,750,1096,0,neutral,0,https://www.facebook.com/77249349077/posts/10153909295994078
02/01/2016,link,727,847,122,positive,10,https://www.facebook.com/77249349077/posts/10153919022964078
02/01/2016,photo,572,280,0,neutral,0,https://www.facebook.com/77249349077/posts/10153919736429078
03/01/2016,link,1646,800,258,positive,8,https://www.facebook.com/77249349077/posts/10153920449689078
05/01/2016,photo,893,278,625,positive,1,https://www.facebook.com/77249349077/posts/10153925060094078
05/01/2016,photo,572,200,0,neutral,0,https://www.facebook.com/77249349077/posts/10153925262244078
05/01/2016,link,679,603,110,positive,5,https://www.facebook.com/77249349077/posts/10153925435594078
06/01/2016,link,691,636,103,positive,4,https://www.facebook.com/77249349077/posts/10153927667969078
07/01/2016,link,299,268,86,negative,-1,https://www.facebook.com/77249349077/posts/10153929113139078
07/01/2016,video,2724,519,0,neutral,0,https://www.facebook.com/77249349077/posts/10153929448159078
07/01/2016,link,408,386,44,negative,-1,https://www.facebook.com/77249349077/posts/10153929821349078
07/01/2016,link,2169,513,421,positive,9,https://www.facebook.com/77249349077/posts/10153929964309078
08/01/2016,link,303,252,37,neutral,0,https://www.facebook.com/77249349077/posts/10153931877374078
08/01/2016,link,1160,478,187,positive,2,https://www.facebook.com/77249349077/posts/10153931914024078
09/01/2016,link,607,595,72,positive,5,https://www.facebook.com/77249349077/posts/10153933683624078
09/01/2016,link,2262,348,258,negative,-1,https://www.facebook.com/77249349077/posts/10153934848149078
10/01/2016,link,320,390,63,positive,5,https://www.facebook.com/77249349077/posts/10153936349864078
11/01/2016,photo,442,182,94,neutral,0,https://www.facebook.com/77249349077/posts/10153938516469078
11/01/2016,photo,309,271,69,positive,1,https://www.facebook.com/77249349077/posts/10153938993129078
11/01/2016,link,722,408,110,negative,-2,https://www.facebook.com/77249349077/posts/10153939211984078
11/01/2016,photo,876,524,378,neutral,0,https://www.facebook.com/77249349077/posts/10153939605459078
12/01/2016,link,238,303,130,negative,-1,https://www.facebook.com/77249349077/posts/10153941052114078
12/01/2016,photo,709,331,0,neutral,0,https://www.facebook.com/77249349077/posts/10153941392024078
12/01/2016,link,646,403,103,positive,5,https://www.facebook.com/77249349077/posts/10153942064089078
13/01/2016,link,258,277,48,positive,4,https://www.facebook.com/77249349077/posts/10153943885314078
13/01/2016,video,807,298,0,neutral,0,https://www.facebook.com/77249349077/posts/10153944463744078
13/01/2016,link,1406,322,258,positive,10,https://www.facebook.com/77249349077/posts/10153944629019078
14/01/2016,photo,314,145,209,neutral,0,https://www.facebook.com/77249349077/posts/10153946153894078
14/01/2016,link,437,409,64,positive,1,https://www.facebook.com/77249349077/posts/10153946296224078
14/01/2016,link,874,622,360,positive,1,https://www.facebook.com/77249349077/posts/10153946711239078
15/01/2016,link,428,416,103,positive,2,https://www.facebook.com/77249349077/posts/10153948413939078
15/01/2016,link,435,601,113,neutral,0,https://www.facebook.com/77249349077/posts/10153948809459078
17/01/2016,link,751,420,105,neutral,0,https://www.facebook.com/77249349077/posts/10153952387154078
18/01/2016,link,271,290,170,positive,1,https://www.facebook.com/77249349077/posts/10153954908219078
18/01/2016,link,451,399,67,positive,7,https://www.facebook.com/77249349077/posts/10153955286819078
20/01/2016,photo,517,232,346,positive,1,https://www.facebook.com/77249349077/posts/10153958727839078
20/01/2016,link,154,114,33,positive,2,https://www.facebook.com/77249349077/posts/10153958933504078
20/01/2016,video,979,618,0,neutral,0,https://www.facebook.com/77249349077/posts/10153958934724078
21/01/2016,link,700,260,124,positive,4,https://www.facebook.com/77249349077/posts/10153960699854078
21/01/2016,photo,303,234,97,positive,1,https://www.facebook.com/77249349077/posts/10153961055104078
21/01/2016,link,444,454,69,positive,1,https://www.facebook.com/77249349077/posts/10153961172799078
22/01/2016,link,589,335,124,negative,-2,https://www.facebook.com/77249349077/posts/10153963250084078
23/01/2016,link,365,513,75,negative,-2,https://www.facebook.com/77249349077/posts/10153964770949078
24/01/2016,link,887,194,162,positive,2,https://www.facebook.com/77249349077/posts/10153966861404078
24/01/2016,link,644,1338,153,positive,4,https://www.facebook.com/77249349077/posts/10153967093519078
25/01/2016,photo,379,446,225,neutral,0,https://www.facebook.com/77249349077/posts/10153969479804078
26/01/2016,link,1092,461,230,negative,-1,https://www.facebook.com/77249349077/posts/10153971866784078
27/01/2016,photo,300,180,133,negative,-1,https://www.facebook.com/77249349077/posts/10153973909089078
27/01/2016,photo,1228,413,715,neutral,0,https://www.facebook.com/77249349077/posts/10153974499534078
28/01/2016,photo,330,346,109,positive,1,https://www.facebook.com/77249349077/posts/10153975585284078
28/01/2016,link,797,532,289,positive,1,https://www.facebook.com/77249349077/posts/10153975965144078
28/01/2016,link,271,491,35,neutral,0,https://www.facebook.com/77249349077/posts/10153976270769078
29/01/2016,link,227,223,77,negative,-1,https://www.facebook.com/77249349077/posts/10153978269729078
29/01/2016,link,472,247,79,negative,-1,https://www.facebook.com/77249349077/posts/10153978799499078
29/01/2016,video,567,444,261,neutral,0,https://www.facebook.com/77249349077/posts/10153978824609078
30/01/2016,link,787,180,169,negative,-1,https://www.facebook.com/77249349077/posts/10153981190604078
31/01/2016,link,252,101,81,positive,2,https://www.facebook.com/77249349077/posts/10153982541539078
